Portfolio,Symbol,Name,Shares,Buy Price,Current Price,Cost Basis,Market Value,Unrealized P/L ($),Unrealized P/L (%),Dividend Yield (%),Annual Div/Share ($),Est Annual Div ($),Currency,Last Updated
USD HSBC,ALB,Albemarle Corp,30.0000,86.39,109.47,2591.70,3284.10,+692.40,+26.72%,1.50%,1.6400,49.20,USD,2026-09-16 21:46:05
USD HSBC,AMD,Advanced Micro Devices Inc,7.0000,154.72,512.50,1083.04,3587.50,+2504.46,+231.24%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
USD HSBC,AVGO,Broadcom Inc,17.0000,344.00,339.51,5848.00,5771.67,-76.33,-1.31%,0.77%,2.6000,44.20,USD,2026-09-16 21:46:05
USD HSBC,CRWV,CoreWeave Inc,20.0000,98.00,83.35,1960.00,1667.00,-293.00,-14.95%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
USD HSBC,GOOGL,Alphabet Inc Class A,30.0000,285.88,342.87,8576.40,10286.10,+1709.70,+19.93%,0.26%,0.8800,26.40,USD,2026-09-16 21:46:05
USD HSBC,INTC,Intel Corp,60.0000,112.03,101.05,6721.80,6063.00,-658.80,-9.80%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
USD HSBC,NOK,Nokia Oyj,229.0000,12.38,10.14,2835.02,2322.06,-512.96,-18.09%,1.61%,0.1600,36.64,USD,2026-09-16 21:46:05
USD HSBC,NVDA,NVIDIA Corp,114.0000,191.07,213.90,21781.98,24384.60,+2602.62,+11.95%,0.47%,1.0000,114.00,USD,2026-09-16 21:46:05
USD HSBC,QCOM,Qualcomm Inc,20.0000,214.00,184.84,4280.00,3696.80,-583.20,-13.63%,1.99%,3.6800,73.60,USD,2026-09-16 21:46:05
USD HSBC,RKLB,Rocket Lab Corp,24.0000,116.93,63.70,2806.32,1528.80,-1277.52,-45.52%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
USD HSBC,SPCX,Space Exploration Technologies Corp,45.0000,157.73,150.88,7097.85,6789.60,-308.25,-4.34%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
USD HSBC,TSLA,Tesla Inc,5.0000,340.32,358.08,1701.60,1790.40,+88.80,+5.22%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
USD HSBC,VOO,Vanguard S&P 500 ETF,105.0000,663.81,693.24,69700.05,72790.20,+3090.15,+4.43%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
CAD TSFA,VGRO:TSE,Vanguard Growth ETF Portfolio,601.0000,44.96,47.18,27020.96,28355.18,+1334.22,+4.94%,0.00%,0.0000,0.00,CAD,2026-09-16 21:46:05
CAD TSFA,VFV:TSE,Vanguard S&P 500 Index ETF,221.0000,184.60,187.77,40796.60,41497.17,+700.57,+1.72%,0.00%,0.0000,0.00,CAD,2026-09-16 21:46:05
CAD RRSP,VFV:TSE,Vanguard S&P 500 Index ETF,253.0000,180.58,187.77,45686.74,47505.81,+1819.07,+3.98%,0.00%,0.0000,0.00,CAD,2026-09-16 21:46:05
CAD RRSP,VOO,Vanguard S&P 500 ETF,3.0000,638.68,693.24,1916.04,2079.72,+163.68,+8.54%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
CAD RRSP,XEF:TSE,iShares Core MSCI EAFE IMI Index ETF,108.0000,49.60,51.65,5356.80,5578.20,+221.40,+4.13%,0.00%,0.0000,0.00,CAD,2026-09-16 21:46:05
CAD RRSP,ZAG:TSE,BMO Aggregate Bond Index Series Units ETF,397.0000,13.86,13.38,5502.42,5311.86,-190.56,-3.46%,0.00%,0.0000,0.00,CAD,2026-09-16 21:46:05
USD RRSP,DRAM,Roundhill Memory ETF,10.0000,48.68,55.33,486.80,553.30,+66.50,+13.66%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
USD RRSP,VOO,Vanguard S&P 500 ETF,21.0000,632.62,693.24,13285.02,14558.04,+1273.02,+9.58%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
USD TSFA,VOO,Vanguard S&P 500 ETF,11.0000,695.71,693.24,7652.81,7625.64,-27.17,-0.36%,0.00%,0.0000,0.00,USD,2026-09-16 21:46:05
