Keyword,Category
expedia,Travel: Hotel fee
karaksa hotel,Travel: Hotel fee
からくさ酒店,Travel: Hotel fee
booking.com,Travel: Hotel fee
air canada,Travel: Air ticket
cathay pacific,Travel: Air ticket
cathaypacair,Travel: Air ticket
philipp air,Travel: Air ticket
philippine airlines,Travel: Air ticket
united air,Travel: Travel fee
united.com,Travel: Travel fee
njt rail,Travel: Travel fee
njt-paygo,Travel: Travel fee
getyourguide,Travel: Travel fee
kkday,Travel: Travel fee
12306,Travel: Travel fee
fever* palacio real,Travel: Travel fee
ceska posta,Travel: Travel fee
dpp - zoo praha,Travel: Travel fee
zoo praha,Travel: Travel fee
zoopraha,Travel: Travel fee
renfe,Travel: Travel fee
renfe cercanias,Travel: Travel fee
hutchison telecom,Travel: Travel fee
la casita,Travel: Travel fee
rodilla,Travel: Travel fee
cabildo de la catedral,Travel: Travel fee
el alcazar de segovia,Travel: Travel fee
sanven restauracion,Travel: Travel fee
aerop. adolfo suarez,Travel: Travel fee
zamek cesky krumlov,Travel: Travel fee
path tapp paygo,Transport: Transport
path tapp,Transport: Transport
mta*nyct paygo,Transport: Transport
mta paygo,Transport: Transport
mta*nyct,Transport: Transport
mobile suica,Transport: Transport
suica,Transport: Transport
agincourt - go tvm,Transport: Transport
metro de madrid,Transport: Transport
alsa toledo,Transport: Transport
alsa madrid,Transport: Transport
pidlitacka,Transport: Transport
high speed rail,Transport: Transport
smarte carte,Transport: Transport
empresa municipal emt,Transport: Transport
empresa martin,Transport: Transport
prestupni terminal,Transport: Transport
presto appl,Transport: Presto
presto fare,Transport: Presto
ocl*octopus,Transport: Octopus
ocl* octopus,Transport: Octopus
ubr* pending.uber.com,Transport: Uber
uber canada,Transport: Uber
ubertrip,Transport: Uber
bolt.eu,Transport: Taxi
bolt,Transport: Taxi
gyu-kaku,Dining: Lunch
gyu-kaku restaurant,Dining: Lunch
hey thai,Dining: Lunch
uluhuluh,Dining: Lunch
star chiva cuisine,Dining: Lunch
star chiva,Dining: Lunch
ming cuisine,Dining: Lunch
bong lua vietnamese,Dining: Lunch
bong lua,Dining: Lunch
pho anh vu,Dining: Lunch
aurickingfinerestaurant,Dining: Lunch
auricking,Dining: Lunch
shake shack,Dining: Lunch
shack eglinton,Dining: Lunch
montanas,Dining: Lunch
buffwildwings,Dining: Lunch
ten seconds,Dining: Lunch
bistro & bar republika,Dining: Lunch
wild flour,Dining: Lunch
china land,Dining: Lunch
湘川滬,Dining: Lunch
taiwan beef noodle house,Dining: Lunch
taiwan beef noodle,Dining: Lunch
congee village,Dining: Lunch
chowbus,Dining: Lunch
de chou,Dining: Lunch
crab crab crab,Dining: Lunch
vezzo heron city,Dining: Lunch
vezzo heron,Dining: Lunch
la taberna de penalver,Dining: Lunch
taberna mas al sur,Dining: Lunch
restaurante virgen estrel,Dining: Lunch
restaurante las murallas,Dining: Lunch
market tudescos,Dining: Lunch
kanitabehoudai gen,Dining: Lunch
kanitabehoudai,Dining: Lunch
ginos isla azul,Dining: Lunch
ginos gran via,Dining: Lunch
ginos,Dining: Lunch
bon banh,Dining: Lunch
sauerkraut fish,Dining: Lunch
mrbeast burger,Dining: Lunch
restaurace gaston,Dining: Lunch
restaurace my saigon,Dining: Lunch
restaurant muc dong,Dining: Lunch
u stolu,Dining: Lunch
ghl*dvmar,Dining: Lunch
ygf malatang,Dining: Dinner
shokkenkenbaiki,Dining: Dinner
yakiniku goen,Dining: Dinner
shin naniwa daishokudo,Dining: Dinner
poulet rouge,Dining: Dinner
eat bkk thorn hill,Dining: Dinner
eat bkk,Dining: Dinner
牛陣,Dining: Dinner
canas y tapas,Dining: Dinner
torrons vicens,Dining: Dinner
iturismo toledo,Dining: Dinner
puzzle hut,Dining: Dinner
fishers,Dining: Dinner
apelace,Dining: Dinner
chicha san chen,Dining: Drink
luckin,Dining: Drink
luckin coffee,Dining: Drink
familymart,Dining: Drink
seven-eleven,Dining: Drink
7-eleven,Dining: Drink
ousunosato,Dining: Drink
delicafe,Dining: Drink
tullys coffee,Dining: Coffee
costa coffee,Dining: Coffee
meow parlour,Dining: Coffee
kavarna hradniho muzea,Dining: Coffee
donuterie,Dining: Snacks
lawson,Dining: Snacks
staroprazske,Dining: Snacks
francouzske lahudky,Dining: Snacks
berad papa,Dining: Breakfast
beard papa,Dining: Breakfast
mango mango dessert,Dining: Sweet soup
mango mango,Dining: Sweet soup
bestco fresh foodmart,Groceries: Groceries
bestco,Groceries: Groceries
hong kong supermarket,Groceries: Groceries
deluxe food market,Groceries: Groceries
morton williams,Groceries: Groceries
99 ranch market,Groceries: Groceries
99 ranch,Groceries: Groceries
foody world,Groceries: Groceries
rcss,Groceries: Groceries
asia food mart,Groceries: Groceries
galleria supermarket,Groceries: Groceries
pet valu,Groceries: Groceries
fu kee bao dim,Groceries: Groceries
the beer store,Groceries: Groceries
lcbo,Groceries: Groceries
lcbo/rao,Groceries: Groceries
759 store,Groceries: Groceries
vacek biomarket,Groceries: Groceries
lindt,Groceries: Groceries
temu.com,Groceries: Misc
temu,Groceries: Misc
decathlon,Groceries: Misc
lepointdevente.com,Groceries: Misc
shinsaibashi parco,Travel: Buy stuff
matsumotokiyoshi,Travel: Buy stuff
donquijote,Travel: Buy stuff
donki,Travel: Buy stuff
druni,Travel: Buy stuff
palladium,Travel: Buy stuff
amadea zlata ulicka,Travel: Buy stuff
maldys shop,Travel: Buy stuff
g u co,Personal: Clothing
gu under,Personal: Clothing
primark,Personal: Clothing
bershka,Personal: Clothing
pull and bear,Personal: Clothing
alpine pro,Personal: Clothing
regatta,Personal: Clothing
sandoratsugu,Personal: Misc stuff
rossmann,Personal: Misc stuff
dm drogerie markt,Personal: Misc stuff
mujirushiryohin,Personal: Misc stuff
baggu,Personal: Misc stuff
kiko milano,PP: PP
boutique longchamp,PP: PP
longchamp,PP: PP
lung fung,PP: PP
hktv mall,PP: PP
hktvmall,PP: PP
pledgebox,Shopping
telus mobility,Subscription: Mobile phone
public mobile,Subscription: Mobile phone
sosim,Subscription: Mobile phone
so sim,Subscription: Mobile phone
bell canada,Subscription: CA internet
ebox,Subscription: CA internet
enbridge gas,Utilities: Enbridge Gas
powerstream water,Utilities: PowerStream water supply
powerstream,Utilities: PowerStream water supply
reliance heat,Utilities: Reliance heat
reliance,Utilities: Reliance heat
ikea north york,Family: Furniture
microsoft*store,Entertain: Game
msbill.info,Entertain: Game
switch portal,Entertain: Switch game
civilisation,Entertain: Pc Game
new york comedy club,Entertain: Admission fee
wb studio,Entertain: Admission fee
american dream,Entertain: Admission fee
lyric theatre,Entertain: Admission fee
murdered by the mob,Entertain: Admission fee
qc terme,Entertain: Surf
inland revenue dept,Taxes
paper statement fee,Misc: Bank service Fee
bjj,Gym: BJJ
youtube premium,Subscription: YouTube premium
baidu,Subscription: Baidu
interac e-transfer,Interact
e-transfer,Interact
mcdonalds,Dining
mcdonald's,Dining
mcdonald,Dining
tim hortons,Dining
starbucks,Dining
burger king,Dining
wendy's,Dining
wendys,Dining
subway,Dining
kfc,Dining
pizza hut,Dining
dominos,Dining
domino's,Dining
popeyes,Dining
a&w,Dining
aw canada,Dining
taco bell,Dining
chipotle,Dining
five guys,Dining
sushi,Dining
ramen,Dining
uber eats,Dining
doordash,Dining
skip the dishes,Dining
deliveroo,Dining
just eat,Dining
grubhub,Dining
walmart,Groceries
costco,Groceries
loblaws,Groceries
metro,Groceries
no frills,Groceries
safeway,Groceries
sobeys,Groceries
